	Phenotype	Top 5 Latent Factor Indices (ordered by variance component)	Top 1 Variance Component	Top 3 Variance Component	Top 5 Variance Component
610	Reticulocyte percentage	36, 93, 95, 27, 8	93.44%	96.99%	97.63%
611	Maximum digits remembered correctly	2, 20, 78, 24, 23	17.52%	33.17%	45.72%
612	Weighted-mean MO in tract uncinate fasciculus (right)	89, 27, 73, 23, 79	9.88%	23.87%	35.53%
613	Minimum carotid IMT (intima-medial thickness) at 150 degrees	72, 83, 23, 89, 68	11.51%	21.93%	30.42%
614	Weighted-mean ICVF in tract parahippocampal part of cingulum (left)	14, 81, 57, 51, 46	37.82%	78.93%	84.95%
615	Volume of grey matter in Temporal Fusiform Cortex, posterior division (right)	48, 20, 23, 78, 82	47.72%	58.22%	64.53%
616	Weighted-mean FA in tract acoustic radiation (right)	46, 14, 81, 57, 20	34.14%	52.79%	64.43%
617	Femur lower neck BMD (bone mineral density) (left)	84, 23, 78, 49, 20	30.16%	49.58%	60.25%
618	fracture hand	79, 72, 23, 49, 8	13.36%	31.76%	44.23%
619	fracture neck/cervical fracture	89, 23, 78, 49, 8	20.22%	35.66%	44.91%
620	Mean ICVF in external capsule on FA skeleton (left)	14, 81, 97, 46, 0	33.13%	78.22%	87.87%
621	breast fibroadenoma	23, 89, 1, 39, 79	10.93%	25.72%	34.29%
622	vocal cord polyp	79, 73, 23, 77, 49	12.98%	28.62%	39.58%
623	Volume of grey matter in Angular Gyrus (left)	48, 23, 78, 49, 98	24.53%	44.38%	52.15%
624	Volume of grey matter	48, 89, 23, 78, 20	98.59%	99.07%	99.21%
625	Age emphysema/chronic bronchitis diagnosed	23, 79, 89, 49, 86	9.78%	25.65%	37.69%
626	Mean signal-to-noise ratio (SNR), (left)	92, 23, 73, 86, 77	9.08%	20.61%	30.88%
627	Signal-to-noise-ratio (SNR) of triplet (left)	73, 77, 0, 23, 86	11.65%	25.27%	36.50%
628	Weighted-mean OD in tract parahippocampal part of cingulum (right)	89, 18, 20, 79, 23	11.22%	24.65%	35.74%
629	Coffee intake	64, 62, 39, 8, 13	47.43%	68.96%	80.93%
630	Weighted-mean OD in tract corticospinal tract (right)	27, 38, 67, 46, 97	13.86%	29.46%	40.86%
631	Mean ICVF in pontine crossing tract on FA skeleton	23, 27, 78, 14, 13	10.93%	26.10%	36.46%
632	Volume of grey matter in Middle Temporal Gyrus, posterior division (right)	48, 23, 78, 49, 81	74.91%	82.16%	85.16%
633	raynaud's phenomenon/disease	23, 78, 48, 79, 49	18.64%	32.86%	44.03%
634	deep venous thrombosis (dvt)	54, 89, 73, 1, 51	14.90%	37.72%	50.57%
635	type 2 diabetes	15, 72, 10, 38, 49	64.09%	76.59%	79.25%
636	gastro-oesophageal reflux (gord)/gastric reflux	20, 51, 99, 92, 8	22.88%	42.48%	51.89%
637	scleroderma/systemic sclerosis	23, 49, 78, 82, 27	14.26%	28.31%	41.25%
638	brain abscess/intracranial abscess	23, 78, 71, 79, 49	17.20%	31.09%	41.79%
639	prostatitis	72, 79, 39, 82, 30	23.00%	40.26%	47.87%
640	fibrocystic disease	23, 78, 49, 82, 77	16.33%	31.92%	39.63%
641	3mm index of best keratometry results (left)	77, 82, 23, 27, 78	8.24%	20.66%	30.15%
642	pernicious anaemia	89, 58, 23, 78, 49	13.84%	31.60%	40.61%
643	cervical polyps	23, 30, 27, 78, 79	13.27%	28.58%	39.38%
644	fracture foot	23, 8, 49, 78, 79	12.72%	25.29%	36.61%
645	allergy or anaphylactic reaction to drug	23, 78, 49, 89, 79	17.76%	33.65%	44.36%
646	female infertility	89, 77, 72, 73, 20	17.59%	29.18%	38.59%
647	chronic fatigue syndrome	23, 78, 49, 39, 0	13.46%	25.49%	34.70%
648	Volume of grey matter in Middle Temporal Gyrus, posterior division (left)	48, 23, 20, 78, 54	67.60%	75.77%	79.31%
649	arthritis (nos)	20, 98, 0, 83, 27	15.85%	30.52%	41.02%
650	appendicitis	79, 23, 72, 74, 82	9.12%	23.64%	35.21%
651	Volume of pallidum (right)	48, 54, 20, 99, 35	49.08%	70.90%	77.60%
652	Volume of hippocampus (left)	20, 48, 54, 23, 78	17.39%	39.91%	51.71%
653	Volume of caudate (right)	48, 23, 92, 77, 83	56.74%	66.32%	71.76%
654	Volume of putamen (left)	48, 23, 54, 89, 20	46.25%	56.15%	62.35%
655	Volume of putamen (right)	48, 20, 54, 23, 99	51.79%	61.90%	69.24%
656	Volume of pallidum (left)	48, 54, 99, 23, 89	43.42%	65.67%	72.34%
657	Volume of brain, grey+white	48, 20, 89, 82, 8	96.83%	97.67%	98.17%
658	Volume of thalamus (left)	48, 20, 54, 72, 35	73.59%	89.06%	91.47%
659	Volume of thalamus (right)	48, 20, 54, 99, 35	73.72%	89.52%	91.95%
660	Age when periods started (menarche)	87, 23, 49, 29, 78	99.31%	99.62%	99.74%
661	Weighted-mean MO in tract middle cerebellar peduncle	72, 38, 89, 39, 83	17.04%	41.76%	50.92%
662	Weighted-mean MO in tract medial lemniscus (left)	23, 59, 27, 49, 82	6.79%	19.59%	28.68%
663	Red blood cell (erythrocyte) distribution width	55, 72, 91, 10, 40	88.40%	96.73%	97.42%
664	lung cancer	75, 18, 59, 80, 11	48.00%	66.99%	71.20%
665	Breast cancer	20, 59, 72, 79, 11	42.86%	57.29%	64.18%
666	Lung cancer	75, 18, 59, 80, 11	48.00%	66.99%	71.20%
667	breast cancer	20, 59, 72, 79, 11	42.86%	57.29%	64.18%
668	salivary gland cancer	23, 78, 30, 32, 0	11.10%	23.87%	33.24%
669	cancer of lip/mouth/pharynx/oral cavity	79, 23, 49, 78, 16	14.09%	33.89%	44.93%
670	larynx/throat cancer	23, 49, 79, 89, 78	19.61%	36.96%	47.36%
671	QRS duration	26, 61, 23, 89, 90	12.60%	24.73%	34.90%
672	Corneal resistance factor (right)	4, 6, 38, 92, 80	86.81%	94.06%	95.43%
673	Corneal hysteresis (right)	4, 38, 80, 92, 98	83.70%	90.20%	93.28%
674	Intra-ocular pressure, Goldmann-correlated (right)	6, 4, 80, 66, 52	90.15%	98.27%	98.60%
675	Intra-ocular pressure, corneal-compensated (right)	6, 4, 51, 11, 59	85.89%	88.98%	90.80%
676	6mm index of best keratometry results (right)	72, 82, 39, 77, 32	11.24%	23.22%	33.60%
677	Monocyte count	42, 43, 40, 19, 86	81.64%	99.38%	99.67%
678	Monocyte percentage	43, 42, 55, 86, 45	96.71%	98.59%	99.11%
679	Hand grip strength (right)	65, 99, 35, 8, 16	81.20%	95.80%	96.79%
680	Spine bone area	94, 17, 84, 23, 89	23.37%	44.21%	56.16%
681	Number of unenthusiastic/disinterested episodes	23, 78, 49, 67, 27	19.83%	40.48%	49.45%
682	Pulse rate (during blood-pressure measurement)	26, 89, 8, 59, 99	68.78%	74.25%	78.31%
683	Reticulocyte count	36, 72, 95, 8, 93	95.49%	96.42%	97.29%
684	Volume of grey matter in Frontal Medial Cortex (left)	48, 23, 78, 49, 81	24.42%	45.16%	53.98%
685	Mean signal-to-noise ratio (SNR), (right)	92, 20, 32, 73, 51	15.46%	28.61%	38.50%
686	Volume of grey matter in Paracingulate Gyrus (left)	48, 23, 20, 18, 49	56.33%	62.75%	67.39%
687	Volume of grey matter in Paracingulate Gyrus (right)	48, 86, 23, 94, 20	45.19%	53.75%	60.33%
688	Mean ICVF in genu of corpus callosum on FA skeleton	81, 46, 27, 14, 64	75.40%	88.65%	91.99%
689	Volume of grey matter in Subcallosal Cortex (right)	48, 20, 72, 79, 54	63.84%	72.36%	77.15%
690	Bread intake	92, 89, 39, 64, 80	16.58%	47.16%	65.94%
691	Weighted-mean L1 in tract superior thalamic radiation (right)	97, 0, 14, 46, 81	43.63%	77.34%	82.30%
692	Waist circumference	23, 49, 29, 63, 50	97.94%	98.82%	99.13%
693	Volume of grey matter in Supramarginal Gyrus, posterior division (right)	23, 78, 8, 48, 49	10.79%	25.19%	34.98%
694	Median BOLD effect (in group-defined mask) for shapes activation	39, 98, 52, 27, 80	62.10%	80.61%	83.81%
695	Leg tissue fat percentage (left)	1, 17, 27, 79, 94	89.00%	93.97%	95.29%
696	Leg fat mass (left)	23, 49, 22, 50, 29	48.40%	96.64%	98.33%
697	Weighted-mean MD in tract cingulate gyrus part of cingulum (left)	46, 81, 97, 0, 89	46.31%	80.08%	86.57%
698	3mm index of best keratometry results (right)	23, 59, 78, 2, 77	11.74%	27.40%	37.91%
699	Gynoid lean mass	94, 27, 52, 73, 17	94.36%	95.09%	95.61%
700	Gynoid fat mass	17, 1, 94, 92, 23	52.33%	96.57%	97.13%
701	Haemoglobin concentration	55, 91, 40, 36, 43	89.86%	98.34%	98.69%
702	Weighted-mean MO in tract acoustic radiation (left)	77, 22, 68, 11, 23	7.85%	22.76%	33.94%
703	Weighted-mean FA in tract medial lemniscus (left)	38, 89, 73, 39, 67	24.92%	41.19%	48.29%
704	Volume of grey matter in Planum Temporale (right)	48, 20, 38, 23, 68	22.42%	43.23%	54.26%
705	Volume of grey matter in Heschl's Gyrus (includes H1 and H2) (right)	48, 20, 23, 39, 78	48.24%	69.18%	72.78%
706	Volume of grey matter in Angular Gyrus (right)	48, 23, 78, 49, 83	28.63%	48.73%	55.33%
707	90th percentile of z-statistic (in group-defined mask) for shapes activation	39, 98, 52, 72, 67	59.57%	78.89%	82.43%
708	90th percentile of BOLD effect (in group-defined mask) for shapes activation	39, 98, 52, 67, 79	60.01%	79.12%	81.89%
709	90th percentile of z-statistic (in group-defined mask) for shapes-faces contrast	39, 20, 27, 71, 64	14.91%	31.79%	45.86%
710	90th percentile of BOLD effect (in group-defined amygdala activation mask) for shapes-faces contrast	86, 74, 79, 89, 27	12.17%	29.40%	41.04%
711	90th percentile of z-statistic (in group-defined mask) for faces activation	39, 98, 52, 27, 71	62.19%	79.70%	83.25%
712	90th percentile of BOLD effect (in group-defined mask) for shapes-faces contrast	20, 27, 39, 71, 74	14.70%	31.66%	45.13%
713	Weighted-mean L2 in tract cingulate gyrus part of cingulum (right)	46, 81, 11, 14, 59	59.36%	79.43%	84.94%
714	Weighted-mean L2 in tract cingulate gyrus part of cingulum (left)	46, 81, 14, 11, 57	65.04%	85.81%	90.56%
715	Weighted-mean L2 in tract parahippocampal part of cingulum (right)	64, 51, 38, 67, 80	35.34%	59.48%	71.51%
716	Weighted-mean L2 in tract parahippocampal part of cingulum (left)	64, 38, 27, 80, 92	19.94%	49.54%	63.42%
717	Weighted-mean L2 in tract corticospinal tract (right)	46, 81, 59, 38, 92	46.48%	60.47%	67.57%
718	Weighted-mean L2 in tract corticospinal tract (left)	46, 14, 72, 39, 89	28.65%	45.79%	59.69%
719	Weighted-mean L2 in tract forceps minor	46, 81, 64, 97, 20	35.47%	68.14%	84.14%
720	Weighted-mean L2 in tract forceps major	57, 45, 89, 14, 11	15.38%	32.84%	46.28%
721	Weighted-mean MO in tract medial lemniscus (right)	86, 89, 23, 20, 38	6.84%	20.09%	32.84%
722	Weighted-mean MO in tract posterior thalamic radiation (left)	23, 78, 49, 67, 99	12.03%	25.75%	37.02%
723	Weighted-mean MO in tract posterior thalamic radiation (right)	49, 81, 39, 79, 23	9.96%	21.69%	32.07%
724	Weighted-mean MO in tract superior longitudinal fasciculus (left)	23, 11, 38, 46, 49	12.45%	23.76%	33.17%
725	Weighted-mean MO in tract superior longitudinal fasciculus (right)	27, 23, 73, 78, 67	16.03%	31.51%	40.17%
726	Weighted-mean MO in tract superior thalamic radiation (left)	27, 38, 54, 23, 79	20.39%	32.26%	42.75%
727	Weighted-mean MO in tract superior thalamic radiation (right)	27, 38, 46, 23, 54	11.96%	27.16%	38.04%
728	Weighted-mean MO in tract uncinate fasciculus (left)	48, 23, 1, 11, 38	7.22%	19.95%	30.42%
729	Femur shaft BMD (bone mineral density) (right)	84, 23, 49, 20, 78	98.37%	98.70%	98.91%
730	Weighted-mean L1 in tract acoustic radiation (left)	51, 64, 59, 14, 92	44.14%	60.42%	68.82%
731	Femur total BMD (bone mineral density) (right)	84, 23, 49, 78, 94	99.18%	99.41%	99.50%
732	Femur total BMD (bone mineral density) T-score (right)	84, 23, 78, 79, 49	99.14%	99.40%	99.53%
733	Femur troch BMD (bone mineral density) (right)	84, 23, 49, 79, 35	98.81%	99.10%	99.23%
734	Femur troch BMD (bone mineral density) T-score (right)	84, 23, 79, 1, 49	98.22%	98.64%	98.87%
735	Femur upper neck BMD (bone mineral density) (right)	84, 23, 78, 49, 83	24.65%	39.54%	48.84%
736	Volume of grey matter in Middle Frontal Gyrus (left)	48, 23, 78, 49, 79	82.17%	85.70%	87.92%
737	Volume of grey matter in Occipital Fusiform Gyrus (left)	48, 23, 49, 78, 54	55.07%	65.40%	72.15%
738	Volume of grey matter in Frontal Operculum Cortex (right)	23, 78, 72, 77, 48	12.26%	27.28%	38.50%
739	Volume of grey matter in Frontal Operculum Cortex (left)	48, 23, 20, 78, 49	29.98%	49.81%	58.82%
740	Volume of grey matter in Central Opercular Cortex (right)	48, 20, 23, 78, 89	80.35%	86.42%	88.05%
741	Volume of grey matter in Central Opercular Cortex (left)	48, 92, 27, 23, 89	72.78%	77.37%	81.15%
742	Volume of grey matter in Parietal Operculum Cortex (right)	48, 20, 23, 78, 38	26.81%	47.37%	54.85%
743	Volume of grey matter in Parietal Operculum Cortex (left)	48, 23, 35, 1, 78	30.19%	45.38%	54.60%
744	Volume of grey matter in Planum Polare (right)	48, 20, 11, 77, 23	65.11%	70.54%	74.69%
745	Volume of grey matter in Planum Polare (left)	48, 23, 78, 20, 92	58.44%	65.42%	70.59%
746	Volume of grey matter in Frontal Pole (left)	48, 89, 20, 72, 78	88.25%	91.59%	93.32%
747	Volume of grey matter in Frontal Pole (right)	48, 35, 72, 39, 20	87.62%	89.79%	91.34%
748	Mean ICVF in superior cerebellar peduncle on FA skeleton (right)	14, 46, 81, 27, 0	17.31%	47.68%	60.05%
749	Volume of grey matter in Insular Cortex (right)	48, 92, 8, 20, 64	78.05%	83.36%	87.65%
750	Volume of grey matter in Superior Frontal Gyrus (left)	48, 72, 20, 23, 59	51.68%	61.05%	66.90%
751	Volume of grey matter in Superior Frontal Gyrus (right)	48, 20, 23, 38, 49	57.94%	64.92%	70.14%
752	Cardiac output	23, 2, 35, 78, 22	11.95%	29.62%	40.87%
753	Cardiac index	23, 30, 82, 78, 27	10.39%	24.27%	35.82%
754	Average heart rate	22, 39, 11, 59, 72	8.68%	22.52%	34.60%
755	Body surface area	94, 17, 1, 23, 27	69.88%	92.75%	94.63%
756	LV ejection fraction	23, 77, 78, 11, 0	10.16%	24.33%	34.40%
757	Weighted-mean ICVF in tract uncinate fasciculus (left)	14, 81, 57, 20, 46	66.82%	91.73%	93.63%
758	Weighted-mean ICVF in tract uncinate fasciculus (right)	14, 81, 57, 46, 97	56.37%	85.27%	90.07%
759	Weighted-mean OD in tract acoustic radiation (left)	20, 23, 72, 38, 39	9.20%	23.12%	35.96%
760	Weighted-mean ICVF in tract posterior thalamic radiation (right)	81, 57, 46, 27, 14	69.77%	95.92%	96.70%
761	Weighted-mean L1 in tract anterior thalamic radiation (left)	97, 14, 81, 13, 72	89.33%	92.15%	93.33%
762	Weighted-mean ICVF in tract superior longitudinal fasciculus (right)	81, 46, 1, 27, 97	87.31%	94.87%	96.34%
763	Weighted-mean ICVF in tract superior thalamic radiation (left)	81, 97, 46, 27, 20	71.26%	92.67%	94.61%
764	Weighted-mean L1 in tract cingulate gyrus part of cingulum (left)	0, 20, 23, 78, 22	18.81%	28.37%	35.05%
765	Weighted-mean L1 in tract anterior thalamic radiation (right)	97, 14, 81, 67, 27	88.19%	91.84%	92.91%
766	Femur neck BMD (bone mineral density) T-score (right)	84, 23, 49, 78, 59	98.36%	98.72%	98.95%
767	Femur neck BMD (bone mineral density) (right)	84, 23, 20, 30, 38	97.73%	98.10%	98.36%
768	Weighted-mean L1 in tract corticospinal tract (left)	27, 97, 20, 81, 54	16.22%	36.42%	46.36%
769	Weighted-mean L1 in tract parahippocampal part of cingulum (right)	64, 51, 38, 67, 80	29.86%	54.24%	64.96%
770	Weighted-mean L1 in tract parahippocampal part of cingulum (left)	64, 27, 38, 80, 51	17.00%	44.69%	58.25%
771	Weighted-mean L1 in tract cingulate gyrus part of cingulum (right)	0, 64, 82, 27, 30	20.67%	32.71%	43.77%
772	L1-L4 average width	94, 89, 27, 0, 23	20.50%	37.73%	47.63%
773	Weighted-mean L1 in tract forceps major	14, 8, 89, 45, 0	17.16%	33.64%	44.01%
774	Weighted-mean L1 in tract corticospinal tract (right)	97, 27, 23, 54, 92	16.51%	37.37%	47.26%
775	Femur lower neck BMD (bone mineral density) (right)	84, 78, 59, 23, 89	25.16%	39.47%	50.56%
776	Volume of grey matter in Postcentral Gyrus (left)	48, 23, 82, 91, 78	59.08%	65.51%	69.48%
777	Volume of grey matter in Postcentral Gyrus (right)	48, 23, 68, 78, 0	57.92%	65.36%	70.21%
778	Volume of grey matter in Superior Temporal Gyrus, anterior division (right)	20, 23, 48, 27, 78	14.18%	33.60%	46.32%
779	Volume of grey matter in Superior Temporal Gyrus, anterior division (left)	48, 23, 49, 78, 82	38.39%	52.49%	58.79%
780	Volume of grey matter in Inferior Temporal Gyrus, posterior division (left)	48, 23, 78, 2, 20	34.28%	45.54%	54.25%
781	Volume of grey matter in Inferior Temporal Gyrus, posterior division (right)	48, 23, 78, 32, 30	42.94%	60.86%	66.86%
782	Volume of grey matter in Inferior Temporal Gyrus, temporooccipital part (left)	48, 23, 82, 49, 78	10.47%	27.81%	39.72%
783	Volume of grey matter in Inferior Temporal Gyrus, temporooccipital part (right)	48, 23, 78, 49, 81	29.74%	43.42%	51.04%
784	Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (right)	23, 79, 86, 38, 49	8.73%	20.12%	30.56%
785	Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (left)	23, 48, 78, 59, 49	15.52%	32.49%	44.02%
786	Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (right)	23, 73, 78, 27, 48	11.01%	28.29%	40.70%
787	Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (left)	23, 79, 48, 85, 49	14.08%	22.98%	31.08%
788	Volume of grey matter in Temporal Pole (right)	48, 89, 23, 38, 86	43.33%	54.39%	61.01%
789	Volume of grey matter in Supramarginal Gyrus, anterior division (right)	23, 27, 48, 78, 67	11.49%	32.49%	46.98%
790	Volume of grey matter in Precentral Gyrus (right)	48, 23, 86, 49, 38	71.91%	76.87%	79.74%
791	Volume of grey matter in Precentral Gyrus (left)	48, 23, 20, 72, 38	70.40%	77.24%	79.96%
792	Weighted-mean MD in tract inferior fronto-occipital fasciculus (right)	57, 97, 81, 46, 14	52.27%	86.23%	91.72%
793	L1-L4 average height	23, 89, 49, 78, 1	17.89%	38.00%	46.19%
794	Weighted-mean L3 in tract medial lemniscus (left)	38, 51, 27, 1, 80	47.66%	60.47%	69.81%
795	Weighted-mean FA in tract anterior thalamic radiation (left)	46, 0, 81, 57, 97	36.82%	62.29%	79.09%
796	Weighted-mean FA in tract anterior thalamic radiation (right)	46, 97, 0, 81, 57	37.56%	57.45%	72.45%
797	Weighted-mean FA in tract cingulate gyrus part of cingulum (left)	46, 14, 73, 57, 81	42.93%	52.12%	57.94%
798	Weighted-mean FA in tract cingulate gyrus part of cingulum (right)	46, 97, 14, 64, 11	50.87%	58.80%	64.76%
799	Weighted-mean FA in tract parahippocampal part of cingulum (left)	89, 67, 46, 22, 64	12.01%	29.04%	39.60%
800	Weighted-mean FA in tract parahippocampal part of cingulum (right)	51, 64, 22, 11, 67	15.72%	35.49%	44.81%
801	Weighted-mean FA in tract corticospinal tract (left)	46, 14, 27, 38, 97	34.78%	50.99%	60.84%
802	Weighted-mean FA in tract corticospinal tract (right)	46, 27, 97, 54, 14	30.51%	47.43%	57.87%
803	Weighted-mean FA in tract forceps major	57, 81, 14, 97, 1	34.57%	47.29%	56.81%
804	Weighted-mean FA in tract forceps minor	46, 81, 57, 14, 64	39.95%	81.14%	87.42%
805	Number of depression episodes	27, 74, 23, 20, 79	8.41%	23.57%	34.92%
806	Weighted-mean OD in tract superior thalamic radiation (left)	27, 97, 20, 46, 38	17.20%	37.51%	48.57%
807	Weighted-mean OD in tract superior thalamic radiation (right)	27, 97, 46, 67, 38	14.69%	36.34%	48.02%
808	Weighted-mean OD in tract uncinate fasciculus (left)	79, 86, 89, 72, 39	9.19%	20.61%	28.69%
809	Weighted-mean OD in tract uncinate fasciculus (right)	89, 79, 86, 39, 64	10.30%	26.33%	37.23%
810	Weighted-mean ISOVF in tract acoustic radiation (left)	51, 64, 92, 1, 78	46.15%	63.37%	69.70%
811	Weighted-mean ISOVF in tract acoustic radiation (right)	59, 39, 64, 20, 89	11.38%	27.68%	42.22%
812	Weighted-mean ISOVF in tract anterior thalamic radiation (left)	0, 46, 72, 73, 13	50.61%	62.67%	68.66%
813	Weighted-mean ISOVF in tract anterior thalamic radiation (right)	0, 68, 46, 13, 54	60.99%	67.14%	71.67%
814	Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (left)	0, 20, 23, 64, 72	48.59%	61.36%	67.51%
815	Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (right)	0, 22, 81, 20, 28	70.99%	76.14%	79.23%
816	Volume of grey matter in X Cerebellum (right)	54, 23, 48, 99, 79	12.81%	29.89%	40.56%
817	Volume of grey matter in Superior Parietal Lobule (left)	23, 48, 78, 27, 49	13.35%	30.72%	44.84%
818	Weighted-mean MD in tract parahippocampal part of cingulum (left)	64, 38, 80, 27, 67	21.28%	49.88%	64.14%
819	Weighted-mean ISOVF in tract superior thalamic radiation (right)	0, 64, 97, 46, 51	85.95%	88.96%	91.17%
820	Weighted-mean FA in tract uncinate fasciculus (right)	14, 46, 57, 81, 51	35.78%	72.94%	80.34%
821	Volume of grey matter in Supramarginal Gyrus, anterior division (left)	48, 23, 73, 8, 27	32.90%	47.39%	56.34%
822	Weighted-mean MO in tract anterior thalamic radiation (left)	23, 78, 49, 86, 0	17.39%	29.73%	38.92%
823	Median T2star in pallidum (right)	54, 20, 23, 24, 27	14.17%	29.67%	39.62%
824	Gynoid bone mass	84, 20, 94, 92, 64	59.99%	90.72%	92.96%
825	Arms total mass	94, 17, 27, 1, 73	59.14%	92.28%	95.76%
826	Spherical power (right)	9, 66, 7, 50, 24	99.67%	99.81%	99.84%
827	Mean FA in uncinate fasciculus on FA skeleton (right)	14, 46, 23, 20, 49	12.76%	31.76%	42.97%
828	Weighted-mean MD in tract superior thalamic radiation (left)	97, 46, 0, 14, 81	34.71%	82.19%	88.29%
829	Weighted-mean MO in tract inferior fronto-occipital fasciculus (right)	27, 23, 73, 49, 46	11.39%	23.09%	32.31%
830	Volume of grey matter in Insular Cortex (left)	48, 20, 92, 8, 64	77.84%	85.18%	87.75%
831	High light scatter reticulocyte percentage	93, 36, 95, 56, 10	84.69%	99.21%	99.88%
832	Intra-ocular pressure, Goldmann-correlated (left)	6, 4, 51, 11, 13	85.04%	94.55%	95.44%
833	Femur neck BMD (bone mineral density) T-score (left)	84, 23, 78, 49, 77	98.00%	98.46%	98.65%
834	Pelvis bone area	94, 20, 89, 0, 51	63.04%	68.60%	73.30%
835	Trunk bone area	94, 17, 20, 84, 51	57.16%	70.41%	76.94%
836	Head bone area	23, 48, 49, 2, 78	13.58%	29.48%	37.55%
837	Ribs bone area	17, 94, 84, 23, 1	55.22%	69.80%	75.60%
838	Weighted-mean MO in tract corticospinal tract (right)	38, 83, 27, 46, 79	18.01%	34.99%	45.01%
839	Mean FA in superior corona radiata on FA skeleton (right)	46, 57, 20, 81, 97	60.64%	77.98%	82.47%
840	Weighted-mean MO in tract corticospinal tract (left)	38, 27, 79, 94, 83	17.07%	31.28%	41.57%
841	diverticular disease/diverticulitis	23, 72, 89, 39, 78	7.87%	21.61%	33.26%
842	Volume of grey matter in Occipital Fusiform Gyrus (right)	48, 38, 23, 83, 20	28.75%	40.22%	47.79%
843	nasal/sinus disorder	23, 71, 78, 49, 72	12.05%	27.88%	38.76%
844	Cylindrical power (left)	9, 38, 86, 72, 92	13.88%	28.11%	39.07%
845	Cylindrical power (right)	9, 86, 92, 38, 73	11.88%	30.62%	42.46%
846	Volume of grey matter in Middle Frontal Gyrus (right)	48, 23, 79, 49, 78	78.34%	83.28%	86.32%
847	6mm regularity index (right)	23, 49, 78, 79, 81	15.64%	30.13%	39.00%
848	3mm regularity index (right)	83, 89, 23, 92, 38	7.36%	21.27%	31.33%
849	3mm regularity index (left)	71, 0, 82, 2, 23	5.75%	16.11%	25.97%
850	Volume of brain stem + 4th ventricle	48, 54, 20, 99, 35	51.48%	79.27%	85.64%
851	Volume of accumbens (right)	48, 89, 23, 72, 20	24.33%	35.68%	44.32%
852	Median T2star in thalamus (right)	38, 72, 86, 20, 39	8.26%	24.48%	35.70%
853	Median T2star in thalamus (left)	23, 78, 49, 41, 64	11.56%	28.27%	36.94%
854	Volume of amygdala (left)	23, 79, 49, 78, 64	17.86%	32.45%	43.49%
855	Volume of hippocampus (right)	48, 54, 23, 99, 78	39.88%	58.83%	67.23%
856	Volume of accumbens (left)	48, 54, 23, 2, 59	26.27%	47.70%	54.74%
857	Volume of amygdala (right)	23, 79, 49, 86, 89	11.46%	23.48%	34.02%
858	Weighted-mean MO in tract inferior longitudinal fasciculus (left)	23, 49, 79, 78, 86	12.14%	27.46%	35.98%
859	Median T2star in caudate (right)	27, 20, 92, 54, 6	17.25%	40.49%	51.04%
860	Median T2star in caudate (left)	92, 27, 20, 23, 62	12.90%	36.31%	44.03%
861	Mean FA in sagittal stratum on FA skeleton (left)	57, 46, 81, 0, 14	49.50%	66.74%	76.41%
862	Mean corpuscular volume	55, 91, 20, 27, 92	80.51%	91.69%	93.05%
863	Arm BMC (bone mineral content) (left)	20, 94, 84, 92, 38	55.47%	69.64%	78.27%
864	Average weekly spirits intake	51, 82, 24, 20, 71	20.16%	31.44%	38.13%
865	Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left)	57, 81, 14, 46, 20	70.54%	88.19%	95.50%
866	Mean FA in posterior thalamic radiation on FA skeleton (left)	57, 46, 81, 14, 1	51.65%	67.62%	77.20%
867	Time spent outdoors in winter	2, 51, 24, 27, 77	88.09%	94.24%	95.30%
868	Ventricular rate	79, 23, 86, 83, 27	8.46%	20.66%	28.12%
869	Mean FA in posterior thalamic radiation on FA skeleton (right)	57, 81, 46, 14, 1	52.11%	77.79%	86.72%
870	Total volume of white matter hyperintensities (from T1 and T2 FLAIR images)	81, 97, 59, 86, 23	21.72%	37.17%	44.68%
871	Arms BMD (bone mineral density)	20, 84, 92, 38, 62	57.63%	84.92%	88.92%
872	P duration	23, 49, 72, 83, 79	12.11%	26.33%	37.02%
873	Median z-statistic (in group-defined mask) for shapes-faces contrast	20, 39, 27, 71, 64	11.83%	32.75%	46.54%
874	Weighted-mean FA in tract inferior longitudinal fasciculus (right)	57, 46, 81, 97, 14	65.47%	92.32%	94.26%
875	Forced expiratory volume in 1-second (FEV1), predicted	16, 7, 78, 79, 41	93.11%	95.78%	97.27%
876	Forced expiratory volume in 1-second (FEV1), Best measure	7, 96, 3, 80, 16	81.19%	93.51%	96.35%
877	Corneal resistance factor (left)	4, 38, 6, 92, 80	84.17%	90.43%	94.09%
878	Intra-ocular pressure, corneal-compensated (left)	6, 4, 74, 79, 72	91.96%	95.11%	96.10%
879	Weighted-mean FA in tract inferior fronto-occipital fasciculus (left)	57, 46, 14, 81, 97	51.70%	76.04%	82.93%
880	Forced expiratory volume in 1-second (FEV1), predicted percentage	80, 7, 1, 64, 96	65.54%	79.42%	85.26%
881	Weighted-mean FA in tract inferior fronto-occipital fasciculus (right)	57, 46, 81, 97, 0	51.63%	86.68%	90.61%
